Time,TimeDST,TimeUTC,Energy Use: Total,Fuel Use: Electricity: Total,Fuel Use: Natural Gas: Total,End Use: Electricity: Heating,End Use: Electricity: Heating Fans/Pumps,End Use: Electricity: Heating Heat Pump Backup Fans/Pumps,End Use: Electricity: Cooling,End Use: Electricity: Cooling Fans/Pumps,End Use: Electricity: Lighting Interior,End Use: Electricity: Lighting Garage,End Use: Electricity: Lighting Exterior,End Use: Electricity: Mech Vent,End Use: Electricity: Refrigerator,End Use: Electricity: Dishwasher,End Use: Electricity: Clothes Washer,End Use: Electricity: Clothes Dryer,End Use: Electricity: Range/Oven,End Use: Electricity: Ceiling Fan,End Use: Electricity: Plug Loads,End Use: Natural Gas: Heating Heat Pump Backup,End Use: Natural Gas: Hot Water,End Use: Natural Gas: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Total,Emissions: CO2e: LRMER_MidCase_15: Net,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Net,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Total,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Garage,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,Emissions: CO2e: LRMER_MidCase_15: Electricity: Dishwasher,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Washer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Dryer,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Heating Heat Pump Backup,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Hot Water,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Range/Oven,Hot Water: Clothes Washer,Hot Water: Dishwasher,Hot Water: Fixtures,Hot Water: Distribution Waste,Load: Heating: Delivered,Load: Heating: Heat Pump Backup,Load: Cooling: Delivered,Load: Hot Water: Delivered,Load: Hot Water: Tank Losses,Unmet Hours: Heating,Unmet Hours: Cooling,Temperature: Attic - Vented,Temperature: Conditioned Space,Temperature: Garage,Temperature: Heating Setpoint,Temperature: Cooling Setpoint,Airflow: Infiltration,Airflow: Mechanical Ventilation,Airflow: Natural Ventilation,Weather: Drybulb Temperature,Weather: Wetbulb Temperature,Weather: Relative Humidity,Weather: Wind Speed,Weather: Diffuse Solar Radiation,Weather: Direct Solar Radiation
,,,kBtu,kWh,kBtu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kBtu,kBtu,kBtu,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,lb,gal,gal,gal,gal,kBtu,kBtu,kBtu,kBtu,kBtu,hr,hr,F,F,F,F,F,cfm,cfm,cfm,F,F,%,mph,Btu/(hr*ft^2),Btu/(hr*ft^2)
2007-01-01T01:00:00,2007-01-01T01:00:00,2007-01-01T06:00:00Z,37.333,0.414,35.919,0.05,0.0,0.067,0.0,0.0,0.025,0.001,0.01,0.0,0.035,0.0,0.0,0.0,0.0,0.004,0.221,35.919,0.0,0.0,5.77008,5.77008,0.47915,0.47915,5.29093,0.05783,0.0,0.07776,0.0,0.0,0.02907,0.00068,0.01207,0.0,0.04059,0.0,0.0,0.0,0.0,0.00499,0.25617,5.29093,0.0,0.0,0.0,0.0,0.519,0.199,28.965,28.965,0.0,0.448,0.454,0.0,0.0,12.817,68.0,38.156,68.0,72.0,177.016,0.0,0.0,10.4,8.787,69.0,10.29,0.0,0.0
2007-01-01T02:00:00,2007-01-01T02:00:00,2007-01-01T07:00:00Z,40.005,0.413,38.594,0.05,0.0,0.067,0.0,0.0,0.025,0.001,0.01,0.0,0.034,0.0,0.0,0.0,0.0,0.004,0.221,37.122,1.472,0.0,6.15627,6.15627,0.47139,0.47139,5.68488,0.05701,0.0,0.07666,0.0,0.0,0.02866,0.00067,0.0119,0.0,0.03901,0.0,0.0,0.0,0.0,0.00492,0.25256,5.46804,0.21684,0.0,0.0,0.0,0.0,0.0,29.927,29.927,0.0,0.0,0.451,0.0,0.0,11.229,68.0,37.922,68.0,72.0,177.016,0.0,0.0,10.4,8.787,69.0,10.29,0.0,0.0
2007-01-01T03:00:00,2007-01-01T03:00:00,2007-01-01T08:00:00Z,40.046,0.413,38.638,0.05,0.0,0.067,0.0,0.0,0.025,0.001,0.01,0.0,0.033,0.0,0.0,0.0,0.0,0.004,0.221,38.638,0.0,0.0,6.16141,6.16141,0.47003,0.47003,5.69139,0.05697,0.0,0.0766,0.0,0.0,0.02864,0.00067,0.01189,0.0,0.03798,0.0,0.0,0.0,0.0,0.00491,0.25236,5.69139,0.0,0.0,0.0,0.0,0.0,0.0,31.14,31.14,0.0,0.0,0.454,0.0,0.0,9.667,68.0,37.566,68.0,72.0,177.204,0.0,0.0,8.6,7.44,76.0,9.171,0.0,0.0
2007-01-01T04:00:00,2007-01-01T04:00:00,2007-01-01T09:00:00Z,41.533,0.412,40.128,0.05,0.0,0.067,0.0,0.0,0.025,0.001,0.01,0.0,0.032,0.0,0.0,0.0,0.0,0.004,0.221,40.128,0.0,0.0,6.38296,6.38296,0.47211,0.47211,5.91084,0.05734,0.0,0.07711,0.0,0.0,0.02882,0.00068,0.01197,0.0,0.03723,0.0,0.0,0.0,0.0,0.00495,0.25402,5.91084,0.0,0.0,0.0,0.0,0.0,0.0,32.332,32.332,0.0,0.0,0.443,0.0,0.0,7.801,68.0,37.222,68.0,72.0,177.942,0.0,0.0,6.8,5.721,76.0,8.053,0.0,0.0
2007-01-01T05:00:00,2007-01-01T05:00:00,2007-01-01T10:00:00Z,44.292,0.411,42.89,0.05,0.0,0.067,0.0,0.0,0.025,0.001,0.01,0.0,0.032,0.0,0.0,0.0,0.0,0.004,0.221,41.418,1.472,0.0,6.79146,6.79146,0.47374,0.47374,6.31773,0.05766,0.0,0.07754,0.0,0.0,0.02898,0.00068,0.01204,0.0,0.03642,0.0,0.0,0.0,0.0,0.00497,0.25544,6.10086,0.21687,0.0,0.0,0.0,0.0,0.0,33.364,33.364,0.0,0.0,0.459,0.0,0.0,6.809,68.0,36.903,68.0,72.0,183.226,0.0,0.0,6.8,5.722,76.0,10.29,0.0,0.0
2007-01-01T06:00:00,2007-01-01T06:00:00,2007-01-01T11:00:00Z,46.434,0.409,45.039,0.05,0.0,0.067,0.0,0.0,0.025,0.001,0.008,0.0,0.032,0.0,0.0,0.0,0.0,0.004,0.221,41.929,3.11,0.0,7.11369,7.11369,0.4794,0.4794,6.63429,0.05864,0.0,0.07886,0.0,0.0,0.02948,0.00069,0.00985,0.0,0.03704,0.0,0.0,0.0,0.0,0.00506,0.25978,6.1762,0.45809,0.0,0.0,0.0,2.337,0.898,33.773,33.773,0.0,2.013,0.451,0.0,0.0,6.24,68.0,36.69,68.0,72.0,180.346,0.0,0.0,6.8,5.723,76.0,9.171,0.0,0.0
2007-01-01T07:00:00,2007-01-01T07:00:00,2007-01-01T12:00:00Z,45.821,0.574,43.862,0.05,0.0,0.067,0.0,0.0,0.103,0.002,0.008,0.0,0.033,0.0,0.0,0.0,0.028,0.007,0.276,41.112,0.0,2.75,7.14345,7.14345,0.68258,0.68258,6.46087,0.05946,0.0,0.07995,0.0,0.0,0.12199,0.00286,0.00945,0.0,0.03965,0.0,0.0,0.0,0.0327,0.00855,0.32797,6.05576,0.0,0.4051,0.0,0.0,0.0,0.0,33.119,33.119,0.0,0.0,0.447,0.0,0.0,4.892,68.0,36.473,68.0,72.0,177.693,0.0,0.0,5.0,4.0,76.0,5.816,0.0,0.0
2007-01-01T08:00:00,2007-01-01T08:00:00,2007-01-01T13:00:00Z,46.737,0.595,44.707,0.05,0.0,0.067,0.0,0.0,0.126,0.003,0.008,0.0,0.035,0.0,0.0,0.0,0.0,0.008,0.298,43.235,1.472,0.0,7.28263,7.28263,0.69733,0.69733,6.58529,0.0586,0.0,0.0788,0.0,0.0,0.14788,0.00347,0.00904,0.0,0.04113,0.0,0.0,0.0,0.0,0.00895,0.34947,6.36845,0.21684,0.0,0.0,0.0,0.0,0.0,34.817,34.817,0.0,0.0,0.452,0.0,0.0,2.189,68.0,36.227,68.0,72.0,178.324,0.0,0.0,3.2,2.545,83.0,0.0,0.0,0.0
2007-01-01T09:00:00,2007-01-01T09:00:00,2007-01-01T14:00:00Z,43.967,0.606,41.899,0.05,0.0,0.067,0.0,0.0,0.133,0.003,0.007,0.0,0.036,0.0,0.0,0.0,0.0,0.006,0.302,41.899,0.0,0.0,6.71202,6.71202,0.54022,0.54022,6.1718,0.04459,0.0,0.05996,0.0,0.0,0.11893,0.00279,0.00668,0.0,0.03208,0.0,0.0,0.0,0.0,0.00547,0.26973,6.1718,0.0,0.0,0.0,0.0,0.0,0.0,33.749,33.749,0.0,0.0,0.453,0.0,0.0,1.706,68.0,36.26,68.0,72.0,171.821,0.0,0.0,6.8,5.725,76.0,0.0,0.0,0.0
