Emissions: CO2e: LRMER_MidCase_15: Fuel Oil: Heating (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Fuel Oil: Heating Heat Pump Backup (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Fuel Oil: Hot Water (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Fuel Oil: Clothes Dryer (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Fuel Oil: Range/Oven (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Fuel Oil: Mech Vent Preheating (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Fuel Oil: Grill (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Fuel Oil: Lighting (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Fuel Oil: Fireplace (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Fuel Oil: Generator (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Propane: Heating (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Propane: Heating Heat Pump Backup (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Propane: Hot Water (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Propane: Clothes Dryer (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Propane: Range/Oven (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Propane: Mech Vent Preheating (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Propane: Grill (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Propane: Lighting (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Propane: Fireplace (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Propane: Generator (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Wood Cord: Heating (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Wood Cord: Heating Heat Pump Backup (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Wood Cord: Hot Water (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Wood Cord: Clothes Dryer (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Wood Cord: Range/Oven (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Wood Cord: Mech Vent Preheating (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Wood Cord: Grill (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Wood Cord: Lighting (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Wood Cord: Fireplace (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Wood Cord: Generator (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Wood Pellets: Heating (lb),0.0
Emissions: CO2e: LRMER_MidCase_15: Wood Pellets: Heating Heat Pump Backup (lb),0.0
