occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
0.5,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.245,0.245,0,0,0,0,0.297,0.654,0.654,0,0,0
0.5,0.243,0.243,0,0,0,0,0.325,0.654,0.654,0,0,0
0.5,0.244,0.244,0,0,0,0,0.346,0.645,0.645,0,0,0
0.5,0.253,0.253,0,0,0,0,0.353,0.664,0.664,0,0,0
0.5,0.286,0.286,0.25,0,0,0,0.402,0.682,0.682,0,0,0
1,0.675,0.675,0,0,0,0,0.741,0.974,0.974,0,0,0.143
1,0.882,0.882,0,0,0,0,0.881,0.993,0.993,0,0,0.19
1,1,1,0,0,0,0,0.937,0.937,0.937,0,0,0.19
1,0.921,0.921,0,0,0,0,0.993,0.88,0.88,0,0,0.439
1,0.719,0.719,0,0,0,0,0.965,0.843,0.843,0,0,0.368
1,0.334,0.334,0,0,0,0,0.541,0.607,0.607,0,0,0.285
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.0476
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.0476
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.157
1,0.0992,0.0992,0.25,0,0,0,0.381,0.542,0.542,0,0,0.206
1,0.2,0.2,0,0,0,0,0.43,0.579,0.579,0,0,0.372
1,0.246,0.246,0.25,0,0,0,0.457,0.626,0.626,0,0,0
1,0.26,0.26,0,0.633,0,0,0.367,0.635,0.635,0.475,0,0
1,0.485,0.485,0,0.983,0,0,0.322,0.806,0.806,0.184,0,0.282
1,0.472,0.472,0,0,0,0,0.336,0.806,0.806,0,0,0.801
1,0.453,0.453,0,0,0,0,0.35,0.824,0.824,0,0,0.254
1,0.44,0.44,0,0,0,0,0.336,0.843,0.843,0,0,0.124
0.5,0.243,0.243,0,0,0,0,0.325,0.654,0.654,0,0,0.0476
0.5,0.244,0.244,0,0,0,0,0.346,0.645,0.645,0,0,0.19
0.5,0.253,0.253,0,0.383,0,0,0.353,0.664,0.664,0.236,0,0
1,0.523,0.523,0.0833,1,0,0,0.545,0.899,0.899,0.652,0,0
1,0.675,0.675,0.167,0.367,0,0,0.741,0.974,0.974,0.234,0,0.0476
1,0.882,0.882,0,1,0,0,0.881,0.993,0.993,0.811,0,0.264
1,0.524,0.524,0,0.75,0,0,0.597,0.701,0.701,0,0,0.111
1,0.485,0.485,0,0,0,0,0.625,0.673,0.673,0,0,0
1,0.384,0.384,0,0,0,0,0.611,0.654,0.654,0,0,0.0952
1,0.334,0.334,0,0,0,0,0.541,0.607,0.607,0,0,0.0952
1,0.148,0.148,0,0,0,0,0.478,0.57,0.57,0,0,0
1,0.0857,0.0857,0,0,0,0,0.409,0.56,0.56,0,0,0
1,0.0612,0.0612,0,0,0,0,0.388,0.542,0.542,0,0,0.0476
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.414
0.5,0.26,0.26,0,0,0,0,0.367,0.635,0.635,0,0,0.619
0.5,0.267,0.267,0,0,0,0,0.29,0.635,0.635,0,0,0.292
0.5,0.26,0.26,0,0,0,0,0.297,0.635,0.635,0,0,0.335
0.5,0.251,0.251,0,0,0,0,0.304,0.645,0.645,0,0,0.214
0.5,0.245,0.245,0,0,0,0,0.297,0.654,0.654,0,0,0.28
0,0.049,0.049,0,0,0,0,0.258,0.465,0.465,0,0,0.286
0.5,0.244,0.244,0,0,0,0,0.346,0.645,0.645,0,0,0.476
0.5,0.253,0.253,0.467,0,0,0,0.353,0.664,0.664,0,0,0
0.5,0.286,0.286,0.05,0,0,0,0.402,0.682,0.682,0,0,0.238
